payment_id,expected_status,expected_settlement_id,expected_bank_txn_id,expected_variance_paise,scenario,expected_review_flag
pay_030,FULLY_RECONCILED,setl_030,bank_030,0,clean,false
pay_031,FULLY_RECONCILED,setl_031,bank_031,0,clean,false
pay_032,FULLY_RECONCILED,setl_032,bank_032,0,clean,false
pay_033,FULLY_RECONCILED,setl_033,bank_033,0,clean,false
pay_034,FULLY_RECONCILED,setl_034,bank_034,0,clean,false
pay_035,FULLY_RECONCILED,setl_035,bank_035,0,clean,false
pay_036,FULLY_RECONCILED,setl_036,bank_036,0,clean,false
pay_037,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_038,FULLY_RECONCILED,setl_038,bank_038,0,clean,false
pay_039,FULLY_RECONCILED,setl_039,bank_039,0,clean,false
pay_040,FULLY_RECONCILED,setl_040,bank_040,0,clean,false
pay_041,FULLY_RECONCILED,setl_041,bank_041,0,missing_utr,false
pay_042,FULLY_RECONCILED,setl_042,bank_042,0,clean,false
pay_043,FULLY_RECONCILED,setl_043,bank_043,0,clean,false
pay_044,FULLY_RECONCILED,setl_044,bank_044,0,clean,false
pay_045,AMOUNT_MISMATCH,setl_045,bank_045,-120000,amount_mismatch,true
pay_046,FULLY_RECONCILED,setl_046,bank_046,0,clean,false
pay_047,FULLY_RECONCILED,setl_047,bank_047,0,clean,false
pay_048,TIMING_DELAY,setl_048,,0,delayed_bank_credit,true
pay_049,FULLY_RECONCILED,setl_049,bank_049,0,clean,false
pay_050,FULLY_RECONCILED,setl_050,bank_050,0,clean,false
pay_051,FULLY_RECONCILED,setl_051,bank_051,0,clean,false
pay_052,FULLY_RECONCILED,setl_052,bank_052,0,clean,false
pay_053,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_054,TIMING_DELAY,setl_054,,0,delayed_bank_credit,true
pay_055,FULLY_RECONCILED,setl_055,bank_055,0,clean,false
pay_056,FULLY_RECONCILED,setl_056,bank_056,0,clean,false
pay_057,FULLY_RECONCILED,setl_057,bank_057,0,same_amount_clean,false
pay_058,FULLY_RECONCILED,setl_058,bank_058,0,clean,false
pay_059,FULLY_RECONCILED,setl_059,bank_059,0,clean,false
pay_060,FULLY_RECONCILED,setl_060,bank_060,0,missing_utr,false
pay_061,FULLY_RECONCILED,setl_061,bank_061,0,clean,false
pay_062,FULLY_RECONCILED,setl_062,bank_062,0,missing_utr,false
pay_063,FULLY_RECONCILED,setl_063,bank_063,0,clean,false
pay_064,FULLY_RECONCILED,setl_064,bank_064,0,clean,false
pay_065,FULLY_RECONCILED,setl_065,bank_065,0,clean,false
pay_066,FULLY_RECONCILED,setl_066,bank_066,0,clean,false
pay_067,TIMING_DELAY,setl_067,,0,delayed_bank_credit,true
pay_068,FULLY_RECONCILED,setl_068,bank_068,0,clean,false
pay_069,FULLY_RECONCILED,setl_069,bank_069,0,missing_utr,false
pay_070,MISSING_BANK_CREDIT,setl_070,,0,missing_bank_credit,true
pay_071,FULLY_RECONCILED,setl_071,bank_071,0,clean,false
pay_072,DUPLICATE,setl_072,bank_072,0,duplicate_ledger,true
pay_073,FULLY_RECONCILED,setl_073,bank_073,0,same_amount_clean,false
pay_074,TIMING_DELAY,setl_074,,0,delayed_bank_credit,true
pay_075,AMOUNT_MISMATCH,setl_075,bank_075,15000,amount_mismatch,true
pay_076,AMOUNT_MISMATCH,setl_076,bank_076,-60000,amount_mismatch,true
pay_077,FULLY_RECONCILED,setl_077,bank_077,0,clean,false
pay_078,TIMING_DELAY,setl_078,,0,delayed_bank_credit,true
pay_079,FULLY_RECONCILED,setl_079,bank_079,0,clean,false
pay_080,FULLY_RECONCILED,setl_080,bank_080,0,clean,false
pay_081,FULLY_RECONCILED,setl_081,bank_081,0,clean,false
pay_082,FULLY_RECONCILED,setl_082,bank_082,0,clean,false
pay_083,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_084,FULLY_RECONCILED,setl_084,bank_084,0,clean,false
pay_085,AMOUNT_MISMATCH,setl_085,bank_085,90000,amount_mismatch,true
pay_086,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_087,TIMING_DELAY,setl_087,,0,delayed_bank_credit,true
pay_088,FULLY_RECONCILED,setl_088,bank_088,0,clean,false
pay_089,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_090,FULLY_RECONCILED,setl_090,bank_090,0,clean,false
pay_091,FULLY_RECONCILED,setl_091,bank_091,0,clean,false
pay_092,FULLY_RECONCILED,setl_092,bank_092,0,clean,false
pay_093,FULLY_RECONCILED,setl_093,bank_093,0,clean,false
pay_094,FULLY_RECONCILED,setl_094,bank_094,0,clean,false
pay_095,FULLY_RECONCILED,setl_095,bank_095,0,clean,false
pay_096,FULLY_RECONCILED,setl_096,bank_096,0,clean,false
pay_097,FULLY_RECONCILED,setl_097,bank_097,0,clean,false
pay_098,AMOUNT_MISMATCH,setl_098,bank_098,-30000,amount_mismatch,true
pay_099,AMOUNT_MISMATCH,setl_099,bank_099,-45000,amount_mismatch,true
pay_100,FULLY_RECONCILED,setl_100,bank_100,0,clean,false
pay_101,FULLY_RECONCILED,setl_101,bank_101,0,clean,false
pay_102,FULLY_RECONCILED,setl_102,bank_102,0,missing_utr,false
pay_103,FULLY_RECONCILED,setl_103,bank_103,0,clean,false
pay_104,FULLY_RECONCILED,setl_104,bank_104,0,missing_utr,false
pay_105,FULLY_RECONCILED,setl_105,bank_105,0,clean,false
pay_106,TIMING_DELAY,setl_106,,0,delayed_bank_credit,true
pay_107,FULLY_RECONCILED,setl_107,bank_107,0,clean,false
pay_108,AMOUNT_MISMATCH,setl_108,bank_108,-120000,amount_mismatch,true
pay_109,FULLY_RECONCILED,setl_109,bank_109,0,clean,false
pay_110,TIMING_DELAY,setl_110,,0,delayed_bank_credit,true
pay_111,FULLY_RECONCILED,setl_111,bank_111,0,clean,false
pay_112,AMOUNT_MISMATCH,setl_112,bank_112,15000,amount_mismatch,true
pay_113,FULLY_RECONCILED,setl_113,bank_113,0,clean,false
pay_114,FULLY_RECONCILED,setl_114,bank_114,0,clean,false
pay_115,TIMING_DELAY,setl_115,,0,delayed_bank_credit,true
pay_116,FULLY_RECONCILED,setl_116,bank_116,0,refund,false
pay_117,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_118,FULLY_RECONCILED,setl_118,bank_118,0,clean,false
pay_119,FULLY_RECONCILED,setl_119,bank_119,0,clean,false
pay_120,FULLY_RECONCILED,setl_120,bank_120,0,clean,false
pay_121,FULLY_RECONCILED,setl_121,bank_121,0,clean,false
pay_122,FULLY_RECONCILED,setl_122,bank_122,0,clean,false
pay_123,FULLY_RECONCILED,setl_123,bank_123,0,refund,false
pay_124,FULLY_RECONCILED,setl_124,bank_124,0,clean,false
pay_125,FULLY_RECONCILED,setl_125,bank_125,0,clean,false
pay_126,AMOUNT_MISMATCH,setl_126,bank_126,-60000,amount_mismatch,true
pay_127,FULLY_RECONCILED,setl_127,bank_127,0,same_amount_clean,false
pay_128,FULLY_RECONCILED,setl_128,bank_128,0,clean,false
pay_129,FULLY_RECONCILED,setl_129,bank_129,0,clean,false
pay_130,TIMING_DELAY,setl_130,,0,delayed_bank_credit,true
pay_131,TIMING_DELAY,setl_131,,0,delayed_bank_credit,true
pay_132,FULLY_RECONCILED,setl_132,bank_132,0,clean,false
pay_133,FULLY_RECONCILED,setl_133,bank_133,0,clean,false
pay_134,FULLY_RECONCILED,setl_134,bank_134,0,refund,false
pay_135,FULLY_RECONCILED,setl_135,bank_135,0,clean,false
pay_136,FULLY_RECONCILED,setl_136,bank_136,0,clean,false
pay_137,FULLY_RECONCILED,setl_137,bank_137,0,clean,false
pay_138,TIMING_DELAY,setl_138,,0,delayed_bank_credit,true
pay_139,FULLY_RECONCILED,setl_139,bank_139,0,missing_utr,false
pay_140,DUPLICATE,setl_140,bank_140,0,duplicate_bank,true
pay_141,FULLY_RECONCILED,setl_141,bank_141,0,clean,false
pay_142,MISSING_BANK_CREDIT,setl_142,,0,missing_bank_credit,true
pay_143,FULLY_RECONCILED,setl_143,bank_143,0,clean,false
pay_144,FULLY_RECONCILED,setl_144,bank_144,0,clean,false
pay_145,FULLY_RECONCILED,setl_145,bank_145,0,clean,false
pay_146,FULLY_RECONCILED,setl_146,bank_146,0,clean,false
pay_147,AMOUNT_MISMATCH,setl_147,bank_147,90000,amount_mismatch,true
pay_148,FULLY_RECONCILED,setl_148,bank_148,0,clean,false
pay_149,FULLY_RECONCILED,setl_149,bank_149,0,clean,false
pay_150,DUPLICATE,setl_150,bank_150,0,duplicate_ledger,true
pay_151,FULLY_RECONCILED,setl_151,bank_151,0,clean,false
pay_152,FULLY_RECONCILED,setl_152,bank_152,0,clean,false
pay_153,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_154,FULLY_RECONCILED,setl_154,bank_154,0,clean,false
pay_155,TIMING_DELAY,setl_155,,0,delayed_bank_credit,true
pay_156,DUPLICATE,setl_156,bank_156,0,duplicate_ledger,true
pay_157,TIMING_DELAY,setl_157,,0,delayed_bank_credit,true
pay_158,FULLY_RECONCILED,setl_158,bank_158,0,clean,false
pay_159,MISSING_BANK_CREDIT,setl_159,,0,missing_bank_credit,true
pay_160,FULLY_RECONCILED,setl_160,bank_160,0,clean,false
pay_161,FULLY_RECONCILED,setl_161,bank_161,0,clean,false
pay_162,FULLY_RECONCILED,setl_162,bank_162,0,clean,false
pay_163,FULLY_RECONCILED,setl_163,bank_163,0,same_amount_clean,false
pay_164,FULLY_RECONCILED,setl_164,bank_164,0,same_amount_clean,false
pay_165,TIMING_DELAY,setl_165,,0,delayed_bank_credit,true
pay_166,TIMING_DELAY,setl_166,,0,delayed_bank_credit,true
pay_167,FULLY_RECONCILED,setl_167,bank_167,0,clean,false
pay_168,FULLY_RECONCILED,setl_168,bank_168,0,clean,false
pay_169,FULLY_RECONCILED,setl_169,bank_169,0,missing_utr,false
pay_170,AMOUNT_MISMATCH,setl_170,bank_170,-30000,amount_mismatch,true
pay_171,FULLY_RECONCILED,setl_171,bank_171,0,clean,false
pay_172,FULLY_RECONCILED,setl_172,bank_172,0,clean,false
pay_173,AMOUNT_MISMATCH,setl_173,bank_173,-45000,amount_mismatch,true
pay_174,FULLY_RECONCILED,setl_174,bank_174,0,clean,false
pay_175,FULLY_RECONCILED,setl_175,bank_175,0,clean,false
pay_176,FULLY_RECONCILED,setl_176,bank_176,0,clean,false
pay_177,FULLY_RECONCILED,setl_177,bank_177,0,clean,false
pay_178,FULLY_RECONCILED,setl_178,bank_178,0,clean,false
pay_179,AMOUNT_MISMATCH,setl_179,bank_179,-120000,amount_mismatch,true
pay_180,MISSING_BANK_CREDIT,setl_180,,0,missing_bank_credit,true
pay_181,FULLY_RECONCILED,setl_181,bank_181,0,clean,false
pay_182,FULLY_RECONCILED,setl_182,bank_182,0,clean,false
pay_183,FULLY_RECONCILED,setl_183,bank_183,0,clean,false
pay_184,DUPLICATE,setl_184,bank_184,0,duplicate_bank,true
pay_185,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_186,FULLY_RECONCILED,setl_186,bank_186,0,clean,false
pay_187,FULLY_RECONCILED,setl_187,bank_187,0,clean,false
pay_188,DUPLICATE,setl_188,bank_188,0,duplicate_settlement,true
pay_189,FULLY_RECONCILED,setl_189,bank_189,0,clean,false
pay_190,FULLY_RECONCILED,setl_190,bank_190,0,clean,false
pay_191,TIMING_DELAY,setl_191,,0,delayed_bank_credit,true
pay_192,FULLY_RECONCILED,setl_192,bank_192,0,same_amount_clean,false
pay_193,TIMING_DELAY,setl_193,,0,delayed_bank_credit,true
pay_194,MISSING_BANK_CREDIT,setl_194,,0,missing_bank_credit,true
pay_195,FULLY_RECONCILED,setl_195,bank_195,0,clean,false
pay_196,FULLY_RECONCILED,setl_196,bank_196,0,clean,false
pay_197,FULLY_RECONCILED,setl_197,bank_197,0,clean,false
pay_198,FULLY_RECONCILED,setl_198,bank_198,0,clean,false
pay_199,FULLY_RECONCILED,setl_199,bank_199,0,clean,false
pay_200,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_201,FULLY_RECONCILED,setl_201,bank_201,0,clean,false
pay_202,FULLY_RECONCILED,setl_202,bank_202,0,clean,false
pay_203,FULLY_RECONCILED,setl_203,bank_203,0,missing_utr,false
pay_204,NEEDS_HUMAN_REVIEW,setl_204,,0,ambiguous_review,true
pay_205,FULLY_RECONCILED,setl_205,bank_205,0,clean,false
pay_206,NEEDS_HUMAN_REVIEW,setl_206,,0,ambiguous_review,true
pay_207,FULLY_RECONCILED,setl_207,bank_207,0,clean,false
pay_208,FULLY_RECONCILED,setl_208,bank_208,0,clean,false
pay_209,FULLY_RECONCILED,setl_209,bank_209,0,clean,false
pay_210,FULLY_RECONCILED,setl_210,bank_210,0,clean,false
pay_211,FULLY_RECONCILED,setl_211,bank_211,0,missing_utr,false
pay_212,FULLY_RECONCILED,setl_212,bank_212,0,missing_utr,false
pay_213,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_214,FULLY_RECONCILED,setl_214,bank_214,0,same_amount_clean,false
pay_215,FULLY_RECONCILED,setl_215,bank_215,0,adjustment,false
pay_216,FULLY_RECONCILED,setl_216,bank_216,0,missing_utr,false
pay_217,FULLY_RECONCILED,setl_217,bank_217,0,clean,false
pay_218,MISSING_BANK_CREDIT,setl_218,,0,missing_bank_credit,true
pay_219,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_220,FULLY_RECONCILED,setl_220,bank_220,0,clean,false
pay_221,FULLY_RECONCILED,setl_221,bank_221,0,clean,false
pay_222,DUPLICATE,setl_222,bank_222,0,duplicate_ledger,true
pay_223,FULLY_RECONCILED,setl_223,bank_223,0,clean,false
pay_224,FULLY_RECONCILED,setl_224,bank_224,0,missing_utr,false
pay_225,FULLY_RECONCILED,setl_225,bank_225,0,clean,false
pay_226,FULLY_RECONCILED,setl_226,bank_226,0,refund,false
pay_227,FULLY_RECONCILED,setl_227,bank_227,0,clean,false
pay_228,TIMING_DELAY,setl_228,,0,delayed_bank_credit,true
pay_229,FULLY_RECONCILED,setl_229,bank_229,0,clean,false
pay_230,MISSING_BANK_CREDIT,setl_230,,0,missing_bank_credit,true
pay_231,DUPLICATE,setl_231,bank_231,0,duplicate_settlement,true
pay_232,AMOUNT_MISMATCH,setl_232,bank_232,15000,amount_mismatch,true
pay_233,FULLY_RECONCILED,setl_233,bank_233,0,clean,false
pay_234,AMOUNT_MISMATCH,setl_234,bank_234,-60000,amount_mismatch,true
pay_235,FULLY_RECONCILED,setl_235,bank_235,0,clean,false
pay_236,FULLY_RECONCILED,setl_236,bank_236,0,missing_utr,false
pay_237,FULLY_RECONCILED,setl_237,bank_237,0,clean,false
pay_238,MISSING_BANK_CREDIT,setl_238,,0,missing_bank_credit,true
pay_239,FULLY_RECONCILED,setl_239,bank_239,0,clean,false
pay_240,FULLY_RECONCILED,setl_240,bank_240,0,clean,false
pay_241,AMOUNT_MISMATCH,setl_241,bank_241,90000,amount_mismatch,true
pay_242,FULLY_RECONCILED,setl_242,bank_242,0,clean,false
pay_243,FULLY_RECONCILED,setl_243,bank_243,0,clean,false
pay_244,FULLY_RECONCILED,setl_244,bank_244,0,clean,false
pay_245,FULLY_RECONCILED,setl_245,bank_245,0,clean,false
pay_246,FULLY_RECONCILED,setl_246,bank_246,0,clean,false
pay_247,FULLY_RECONCILED,setl_247,bank_247,0,clean,false
pay_248,DUPLICATE,setl_248,bank_248,0,duplicate_settlement,true
pay_249,FULLY_RECONCILED,setl_249,bank_249,0,clean,false
pay_250,FULLY_RECONCILED,setl_250,bank_250,0,clean,false
pay_251,FULLY_RECONCILED,setl_251,bank_251,0,clean,false
pay_252,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_253,FULLY_RECONCILED,setl_253,bank_253,0,refund,false
pay_254,FULLY_RECONCILED,setl_254,bank_254,0,adjustment,false
pay_255,MISSING_BANK_CREDIT,setl_255,,0,missing_bank_credit,true
pay_256,FULLY_RECONCILED,setl_256,bank_256,0,clean,false
pay_257,FULLY_RECONCILED,setl_257,bank_257,0,same_amount_clean,false
pay_258,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_259,FULLY_RECONCILED,setl_259,bank_259,0,clean,false
pay_260,FULLY_RECONCILED,setl_260,bank_260,0,clean,false
pay_261,FULLY_RECONCILED,setl_261,bank_261,0,clean,false
pay_262,FULLY_RECONCILED,setl_262,bank_262,0,missing_utr,false
pay_263,FULLY_RECONCILED,setl_263,bank_263,0,clean,false
pay_264,FULLY_RECONCILED,setl_264,bank_264,0,clean,false
pay_265,FULLY_RECONCILED,setl_265,bank_265,0,clean,false
pay_266,AMOUNT_MISMATCH,setl_266,bank_266,-30000,amount_mismatch,true
pay_267,MISSING_BANK_CREDIT,setl_267,,0,missing_bank_credit,true
pay_268,FULLY_RECONCILED,setl_268,bank_268,0,missing_utr,false
pay_269,FULLY_RECONCILED,setl_269,bank_269,0,missing_utr,false
pay_270,FULLY_RECONCILED,setl_270,bank_270,0,clean,false
pay_271,FULLY_RECONCILED,setl_271,bank_271,0,clean,false
pay_272,TIMING_DELAY,setl_272,,0,delayed_bank_credit,true
pay_273,FULLY_RECONCILED,setl_273,bank_273,0,clean,false
pay_274,FULLY_RECONCILED,setl_274,bank_274,0,missing_utr,false
pay_275,FULLY_RECONCILED,setl_275,bank_275,0,clean,false
pay_276,FULLY_RECONCILED,setl_276,bank_276,0,clean,false
pay_277,FULLY_RECONCILED,setl_277,bank_277,0,clean,false
pay_278,FULLY_RECONCILED,setl_278,bank_278,0,clean,false
pay_279,TIMING_DELAY,setl_279,,0,delayed_bank_credit,true
pay_280,FULLY_RECONCILED,setl_280,bank_280,0,missing_utr,false
pay_281,FULLY_RECONCILED,setl_281,bank_281,0,clean,false
pay_282,FULLY_RECONCILED,setl_282,bank_282,0,clean,false
pay_283,TIMING_DELAY,setl_283,,0,delayed_bank_credit,true
pay_284,FULLY_RECONCILED,setl_284,bank_284,0,missing_utr,false
pay_285,TIMING_DELAY,setl_285,,0,delayed_bank_credit,true
pay_286,TIMING_DELAY,setl_286,,0,delayed_bank_credit,true
pay_287,FULLY_RECONCILED,setl_287,bank_287,0,missing_utr,false
pay_288,FULLY_RECONCILED,setl_288,bank_288,0,clean,false
pay_289,FULLY_RECONCILED,setl_289,bank_289,0,clean,false
pay_290,FULLY_RECONCILED,setl_290,bank_290,0,clean,false
pay_291,FULLY_RECONCILED,setl_291,bank_291,0,clean,false
pay_292,FULLY_RECONCILED,setl_292,bank_292,0,clean,false
pay_293,FULLY_RECONCILED,setl_293,bank_293,0,clean,false
pay_294,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_295,FULLY_RECONCILED,setl_295,bank_295,0,clean,false
pay_296,FULLY_RECONCILED,setl_296,bank_296,0,clean,false
pay_297,AMOUNT_MISMATCH,setl_297,bank_297,-45000,amount_mismatch,true
pay_298,FULLY_RECONCILED,setl_298,bank_298,0,missing_utr,false
pay_299,FULLY_RECONCILED,setl_299,bank_299,0,clean,false
pay_300,FULLY_RECONCILED,setl_300,bank_300,0,clean,false
pay_301,FULLY_RECONCILED,setl_301,bank_301,0,clean,false
pay_302,FULLY_RECONCILED,setl_302,bank_302,0,clean,false
pay_303,FULLY_RECONCILED,setl_303,bank_303,0,missing_utr,false
pay_304,TIMING_DELAY,setl_304,,0,delayed_bank_credit,true
pay_305,FULLY_RECONCILED,setl_305,bank_305,0,clean,false
pay_306,FULLY_RECONCILED,setl_306,bank_306,0,clean,false
pay_307,FULLY_RECONCILED,setl_307,bank_307,0,clean,false
pay_308,TIMING_DELAY,setl_308,,0,delayed_bank_credit,true
pay_309,FULLY_RECONCILED,setl_309,bank_309,0,clean,false
pay_310,FULLY_RECONCILED,setl_310,bank_310,0,clean,false
pay_311,FULLY_RECONCILED,setl_311,bank_311,0,clean,false
pay_312,FULLY_RECONCILED,setl_312,bank_312,0,clean,false
pay_313,FULLY_RECONCILED,setl_313,bank_313,0,clean,false
pay_314,TIMING_DELAY,setl_314,,0,delayed_bank_credit,true
pay_315,DUPLICATE,setl_315,bank_315,0,duplicate_bank,true
pay_316,AMOUNT_MISMATCH,setl_316,bank_316,-120000,amount_mismatch,true
pay_317,TIMING_DELAY,setl_317,,0,delayed_bank_credit,true
pay_318,FULLY_RECONCILED,setl_318,bank_318,0,clean,false
pay_319,FULLY_RECONCILED,setl_319,bank_319,0,clean,false
pay_320,FULLY_RECONCILED,setl_320,bank_320,0,clean,false
pay_321,FULLY_RECONCILED,setl_321,bank_321,0,clean,false
pay_322,FULLY_RECONCILED,setl_322,bank_322,0,clean,false
pay_323,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_324,FULLY_RECONCILED,setl_324,bank_324,0,clean,false
pay_325,MISSING_BANK_CREDIT,setl_325,,0,missing_bank_credit,true
pay_326,FULLY_RECONCILED,setl_326,bank_326,0,clean,false
pay_327,FULLY_RECONCILED,setl_327,bank_327,0,clean,false
pay_328,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_329,NEEDS_HUMAN_REVIEW,setl_329,,0,ambiguous_review,true
pay_330,MISSING_BANK_CREDIT,setl_330,,0,missing_bank_credit,true
pay_331,TIMING_DELAY,setl_331,,0,delayed_bank_credit,true
pay_332,AMOUNT_MISMATCH,setl_332,bank_332,15000,amount_mismatch,true
pay_333,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_334,FULLY_RECONCILED,setl_334,bank_334,0,clean,false
pay_335,FULLY_RECONCILED,setl_335,bank_335,0,clean,false
pay_336,FULLY_RECONCILED,setl_336,bank_336,0,clean,false
pay_337,FULLY_RECONCILED,setl_337,bank_337,0,clean,false
pay_338,FULLY_RECONCILED,setl_338,bank_338,0,clean,false
pay_339,FULLY_RECONCILED,setl_339,bank_339,0,clean,false
pay_340,AMOUNT_MISMATCH,setl_340,bank_340,-60000,amount_mismatch,true
pay_341,FULLY_RECONCILED,setl_341,bank_341,0,clean,false
pay_342,FULLY_RECONCILED,setl_342,bank_342,0,clean,false
pay_343,FULLY_RECONCILED,setl_343,bank_343,0,clean,false
pay_344,TIMING_DELAY,setl_344,,0,delayed_bank_credit,true
pay_345,FULLY_RECONCILED,setl_345,bank_345,0,refund,false
pay_346,MISSING_BANK_CREDIT,setl_346,,0,missing_bank_credit,true
pay_347,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_348,FULLY_RECONCILED,setl_348,bank_348,0,clean,false
pay_349,FULLY_RECONCILED,setl_349,bank_349,0,clean,false
pay_350,FULLY_RECONCILED,setl_350,bank_350,0,clean,false
pay_351,FULLY_RECONCILED,setl_351,bank_351,0,clean,false
pay_352,FULLY_RECONCILED,setl_352,bank_352,0,clean,false
pay_353,FULLY_RECONCILED,setl_353,bank_353,0,clean,false
pay_354,FULLY_RECONCILED,setl_354,bank_354,0,clean,false
pay_355,FULLY_RECONCILED,setl_355,bank_355,0,missing_utr,false
pay_356,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_357,FULLY_RECONCILED,setl_357,bank_357,0,clean,false
pay_358,FULLY_RECONCILED,setl_358,bank_358,0,same_amount_clean,false
pay_359,FULLY_RECONCILED,setl_359,bank_359,0,clean,false
pay_360,FULLY_RECONCILED,setl_360,bank_360,0,same_amount_clean,false
pay_361,FULLY_RECONCILED,setl_361,bank_361,0,clean,false
pay_362,FULLY_RECONCILED,setl_362,bank_362,0,clean,false
pay_363,DUPLICATE,setl_363,bank_363,0,duplicate_bank,true
pay_364,FULLY_RECONCILED,setl_364,bank_364,0,clean,false
pay_365,FULLY_RECONCILED,setl_365,bank_365,0,adjustment,false
pay_366,MISSING_IN_SETTLEMENT,,,0,missing_settlement,true
pay_367,FULLY_RECONCILED,setl_367,bank_367,0,clean,false
pay_368,FULLY_RECONCILED,setl_368,bank_368,0,clean,false
pay_369,TIMING_DELAY,setl_369,,0,delayed_bank_credit,true
pay_370,FULLY_RECONCILED,setl_370,bank_370,0,clean,false
pay_371,FULLY_RECONCILED,setl_371,bank_371,0,clean,false
pay_372,TIMING_DELAY,setl_372,,0,delayed_bank_credit,true
pay_373,FULLY_RECONCILED,setl_373,bank_373,0,missing_utr,false
pay_374,FULLY_RECONCILED,setl_374,bank_374,0,missing_utr,false
pay_375,FULLY_RECONCILED,setl_375,bank_375,0,missing_utr,false
pay_376,FULLY_RECONCILED,setl_376,bank_376,0,same_amount_clean,false
pay_377,FULLY_RECONCILED,setl_377,bank_377,0,clean,false
pay_378,FULLY_RECONCILED,setl_378,bank_378,0,clean,false
pay_379,FULLY_RECONCILED,setl_379,bank_379,0,clean,false
pay_380,FULLY_RECONCILED,setl_380,bank_380,0,clean,false
pay_381,FULLY_RECONCILED,setl_381,bank_381,0,clean,false
pay_382,FULLY_RECONCILED,setl_382,bank_382,0,refund,false
pay_383,FULLY_RECONCILED,setl_383,bank_383,0,clean,false
pay_384,FULLY_RECONCILED,setl_384,bank_384,0,clean,false
pay_385,FULLY_RECONCILED,setl_385,bank_385,0,clean,false
pay_386,FULLY_RECONCILED,setl_386,bank_386,0,missing_utr,false
pay_387,DUPLICATE,setl_387,bank_387,0,duplicate_ledger,true
pay_388,FULLY_RECONCILED,setl_388,bank_388,0,same_amount_clean,false
pay_389,FULLY_RECONCILED,setl_389,bank_389,0,missing_utr,false
pay_390,NEEDS_HUMAN_REVIEW,setl_390,,0,ambiguous_review,true
pay_391,FULLY_RECONCILED,setl_391,bank_391,0,clean,false
pay_392,MISSING_BANK_CREDIT,setl_392,,0,missing_bank_credit,true
